state,college,division,directory_url
AL,University of Alabama,NCAA DI,https://rolltide.com/staff-directory
AL,Auburn University,NCAA DI,https://auburntigers.com/staff-directory
AL,Troy University,NCAA DI,https://troytrojans.com/staff-directory
AL,University of Alabama at Birmingham (UAB),NCAA DI,https://uabsports.com/staff-directory
AL,Samford University,NCAA DI,https://samfordsports.com/staff-directory
AL,Alabama State University,NCAA DI,https://bamastatesports.com/staff-directory
AL,Alabama A&M University,NCAA DI,https://aamusports.com/staff-directory
AL,University of South Alabama,NCAA DI,https://usajaguars.com/staff-directory
AL,Jacksonville State University,NCAA DI,https://jsugamecocksports.com/staff-directory
