state,college,division,directory_url
AR,University of Arkansas (Fayetteville),NCAA DI,https://arkansasrazorbacks.com/staff-directory
AR,Arkansas State University,NCAA DI,https://astateredwolves.com/staff-directory
AR,University of Central Arkansas,NCAA DI,https://ucasports.com/staff-directory
AR,University of Arkansas at Little Rock (UALR),NCAA DI,https://lrtrojans.com/staff-directory
AR,University of Arkansas at Pine Bluff (UAPB),NCAA DI,https://uapblionsroar.com/staff-directory
AR,Harding University,NCAA DII,https://hardingsports.com/staff-directory
AR,Henderson State University,NCAA DII,https://hsusports.com/staff-directory
AR,Ouachita Baptist University,NCAA DII,https://obutigers.com/staff-directory
