state,college,division,directory_url
NM,University of New Mexico,NCAA DI,https://golobos.com/staff-directory
NM,New Mexico State University,NCAA DI,https://nmstatesports.com/staff-directory
NM,Eastern New Mexico University,NCAA DII,https://goeasternathletics.com/staff-directory
NM,New Mexico Highlands University,NCAA DII,https://nmhuathletics.com/staff-directory
NM,Western New Mexico University,NCAA DII,https://wnmumustangs.com/staff-directory
NM,None,N/A,
NM,University of the Southwest,NAIA,https://uswathletics.com/staff-directory
