state,college,division,directory_url
MA,University of Massachusetts Amherst,NCAA DI,https://umassathletics.com/staff-directory
MA,Massachusetts Institute of Technology (MIT),NCAA DIII,https://mitathletics.com/staff-directory
MA,Massachusetts College of Liberal Arts (MCLA),NCAA DIII,https://athletics.mcla.edu/information/directory/index
MA,Amherst College,NCAA DIII,https://athletics.amherst.edu/staff-directory
MA,Springfield College,NCAA DIII,https://springfieldcollegepride.com/staff-directory
MA,Holy Cross,NCAA DI,https://goholycross.com/staff-directory
MA,Wheaton College (MA),NCAA DIII,https://wheatoncollegelyons.com/staff-directory
MA,Dean College,NCAA DIII,https://deanbulldogs.com/staff-directory
